ID,Team,Country,NameF,NameL,Weight,Height,DOB,Hometown,Prov,Pos
1,Women,Canada,Meghan,Agosta,148,5.50,12-02-1987,Ruthven,Ont.,Forward
2,Women,Canada,Rebecca,Johnston,148,5.50,24-09-1989,Sudbury,Ont.,Forward
3,Women,Canada,Laura,Stacey,156,5.67,05-05-1994,Kleinburg,Ont.,Forward
4,Women,Canada,Jennifer,Wakefield,172,5.33,15-06-1989,Pickering,Ont.,Forward
5,Women,Canada,Jillian,Saulnier,144,5.75,07-03-1992,Halifax,N.S.,Forward
6,Women,Canada,Mélodie,Daoust,159,5.50,07-01-1992,Valleyfield,Que.,Forward
7,Women,Canada,Bailey,Bram,150,5.67,05-09-1990,St. Anne,Man.,Forward
8,Women,Canada,Brianne,Jenner,156,5.67,04-05-1991,Oakville,Ont.,Forward
9,Women,Canada,Sarah,Nurse,140,5.75,04-01-1995,Hamilton,Ont.,Forward
10,Women,Canada,Haley,Irwin,170,5.92,06-06-1988,Thunder Bay,Ont.,Forward
11,Women,Canada,Natalie,Spooner,180,6.25,17-10-1990,Scarborough,Ont.,Forward
12,Women,Canada,Emily,Clark,130,5.75,28-11-1995,Saskatoon,Sask.,Forward
13,Women,Canada,Marie-Philip,Poulin,160,6.00,28-03-1991,Beauceville,Que.,Forward
14,Women,Canada,Blayre,Turnbull,155,6.25,15-07-1993,Stellarton,N.S.,Forward
15,Women,Canada,Jocelyne,Larocque,139,5.67,19-05-1988,Ste. Anne,Man.,Defence
16,Women,Canada,Brigette,Lacquette,180,6.17,11-10-1992,Mallard,Man.,Defence
17,Women,Canada,Lauriane,Rougeau,167,6.17,12-04-1990,Beaconsfield,Que.,Defence
18,Women,Canada,Laura,Fortino,137,5.75,30-01-1991,Hamilton,Ont.,Defence
19,Women,Canada,Meaghan,Mikkelson,139,6.08,04-01-1985,St. Albert,Alta.,Defence
20,Women,Canada,Renata,Fast,144,6.08,06-10-1994,Burlington,Ont.,Defence
21,Women,Canada,Shannon,Szabados,146,6.00,06-08-1986,Edmonton,Alta.,Goalie
22,Women,Canada,Geneviève,Lacasse,136,6.00,05-05-1989,Kingston,Ont.,Goalie
23,Women,Canada,Ann-Renée,Desbiens,160,5.75,10-04-1994,La Malbaie,Que.,Goalie
24,Men,Canada,Gilbert,Brulé,190,5.92,01-01-1987,Vancouver,B.C.,Forward
25,Men,Canada,Wojtek,Wolski,220,6.00,24-02-1986,Toronto,Ont.,Forward
26,Men,Canada,Derek,Roy,187,5.75,04-05-1983,Rockland,Ont.,Forward
27,Men,Canada,Chris,Kelly,194,6.25,11-11-1980,Toronto,Ont.,Forward
